home,away,score,year
Zaire , Sudan,1–1,1976
Guinea , Nigeria,1–1,1976
Morocco , Egypt,2–1,1976
Morocco , Nigeria,2–1,1976
Guinea , Egypt,4–2,1976
Nigeria , Egypt,3–2,1976
Guinea , Morocco,1–1,1976
Ghana , Zambia,2–1,1978
Nigeria , Upper Volta,4–2,1978
Zambia , Upper Volta,2–0,1978
Nigeria , Ghana,1–1,1978
Zambia , Nigeria,0–0,1978
Ghana , Upper Volta,3–0,1978
Morocco , Tunisia,1–1,1978
Uganda , Congo,3–1,1978
Tunisia , Uganda,3–1,1978
Morocco , Congo,1–0,1978
Congo , Tunisia,0–0,1978
Uganda , Morocco,3–0,1978
Ghana , Tunisia,1–0,1978
Uganda , Nigeria,2–1,1978
Nigeria , Tunisia,1–11,1978
Ghana , Uganda,2–0,1978
Nigeria , Tanzania,3–1,1980
Egypt , Ivory Coast,2–1,1980
Egypt , Tanzania,2–1,1980
Nigeria , Ivory Coast,0–0,1980
Ivory Coast , Tanzania,1–1,1980
Nigeria , Egypt,1–0,1980
Ghana , Algeria,0–0,1980
Morocco , Guinea,1–1,1980
Algeria , Morocco,1–0,1980
Ghana , Guinea,1–0,1980
Algeria , Guinea,3–2,1980
Morocco , Ghana,1–0,1980
Nigeria , Morocco,1–0,1980
Algeria , Egypt,2–2,1980
Morocco , Egypt,2–0,1980
Nigeria , Algeria,3–0,1980
Libya , Ghana,2–2,1982
Cameroon , Tunisia,1–1,1982
Cameroon , Ghana,0–0,1982
Libya , Tunisia,2–0,1982
Ghana , Tunisia,1–0,1982
Libya , Cameroon,0–0,1982
Nigeria , Ethiopia,3–0,1982
Algeria , Zambia,1–0,1982
Zambia , Ethiopia,1–0,1982
Algeria , Nigeria,2–1,1982
Algeria , Ethiopia,0–0,1982
Zambia , Nigeria,3–0,1982
Ghana , Algeria,3–2,1982
Libya , Zambia,2–1,1982
Zambia , Algeria,2–0,1982
Ghana , Libya,1–1,1982
Ivory Coast , Togo,3–0,1984
Egypt , Cameroon,1–0,1984
Cameroon , Togo,4–1,1984
Ivory Coast , Egypt,1–2,1984
Egypt , Togo,0–0,1984
Ivory Coast , Cameroon,0–2,1984
Ghana , Nigeria,1–2,1984
Algeria , Malawi,3–0,1984
Malawi , Nigeria,2–2,1984
Algeria , Ghana,2–0,1984
Algeria , Nigeria,0–0,1984
Ghana , Malawi,1–0,1984
Egypt , Nigeria,2–2,1984
Algeria , Cameroon,0–0,1984
Algeria , Egypt,3–1,1984
Cameroon , Nigeria,3–1,1984
Senegal , Egypt,1–0,1986
Ivory Coast , Mozambique,3–0,1986
Senegal , Mozambique,2–0,1986
Egypt , Ivory Coast,2–0,1986
Ivory Coast , Senegal,1–0,1986
Egypt , Mozambique,2–0,1986
Algeria , Morocco,0–0,1986
Cameroon , Zambia,3–2,1986
Algeria , Zambia,0–0,1986
Cameroon , Morocco,1–1,1986
Morocco , Zambia,1–0,1986
Cameroon , Algeria,3–2,1986
Cameroon , Ivory Coast,1–0,1986
Egypt , Morocco,1–0,1986
Ivory Coast , Morocco,3–2,1986
Egypt , Cameroon,0–0,1986
Morocco , Zaire,1–1,1988
Ivory Coast , Algeria,1–1,1988
Ivory Coast , Zaire,1–1,1988
Morocco , Algeria,1–0,1988
Algeria , Zaire,1–0,1988
Morocco , Ivory Coast,0–0,1988
Cameroon , Egypt,1–0,1988
Nigeria , Kenya,3–0,1988
Cameroon , Nigeria,1–1,1988
Egypt , Kenya,3–0,1988
Cameroon , Kenya,0–0,1988
Nigeria , Egypt,0–0,1988
Nigeria , Algeria,1–1,1988
Morocco , Cameroon,0–1,1988
Morocco , Algeria,1–1,1988
Cameroon , Nigeria,1–0,1988
Algeria , Nigeria,5–1,1990
Ivory Coast , Egypt,3–1,1990
Nigeria , Egypt,1–0,1990
Algeria , Ivory Coast,3–0,1990
Nigeria , Ivory Coast,1–0,1990
Algeria , Egypt,2–0,1990
Zambia , Cameroon,1–0,1990
Senegal , Kenya,0–0,1990
Zambia , Kenya,1–0,1990
Senegal , Cameroon,2–0,1990
Zambia , Senegal,0–0,1990
Cameroon , Kenya,2–0,1990
Zambia , Nigeria,0–2,1990
Algeria , Senegal,2–1,1990
Zambia , Senegal,1–0,1990
Algeria , Nigeria,1–0,1990
Nigeria , Senegal,2–1,1992
Nigeria , Kenya,2–1,1992
Senegal , Kenya,3–0,1992
Cameroon , Morocco,1–0,1992
Morocco , Zaire,1–1,1992
Cameroon , Zaire,1–1,1992
Ivory Coast , Algeria,3–0,1992
Ivory Coast , Congo,0–0,1992
Algeria , Congo,1–1,1992
Zambia , Egypt,1–0,1992
Ghana , Zambia,1–0,1992
Ghana , Egypt,1–0,1992
Nigeria , Zaire,1–0,1992
Cameroon , Senegal,1–0,1992
Ivory Coast , Zambia,1–0,1992
Ghana , Congo,2–1,1992
Ghana , Nigeria,2–1,1992
Cameroon , Ivory Coast,0–0,1992
Nigeria , Cameroon,2–1,1992
Ivory Coast , Ghana,0–0,1992
Tunisia , Mali,0–2,1994
Mali , Zaire,0–1,1994
Tunisia , Zaire,1–1,1994
Nigeria , Gabon,3–0,1994
Egypt , Gabon,4–0,1994
Nigeria , Egypt,0–0,1994
Ivory Coast , Sierra Leone,4–0,1994
Zambia , Sierra Leone,0–0,1994
Zambia , Ivory Coast,1–0,1994
Ghana , Guinea,1–0,1994
Senegal , Guinea,2–1,1994
Ghana , Senegal,1–0,1994
Zaire , Nigeria,0–2,1994
Egypt , Mali,0–1,1994
Zambia , Senegal,1–0,1994
Ghana , Ivory Coast,1–2,1994
Nigeria , Ivory Coast,2–2,1994
Zambia , Mali,4–0,1994
Ivory Coast , Mali,3–1,1994
Nigeria , Zambia,2–1,1994
South Africa , Cameroon,3–0,1996
Egypt , Angola,2–1,1996
Cameroon , Egypt,2–1,1996
South Africa , Angola,1–0,1996
South Africa , Egypt,0–1,1996
Angola , Cameroon,3–3,1996
Zambia , Algeria,0–0,1996
Sierra Leone , Burkina Faso,2–1,1996
Algeria , Sierra Leone,2–0,1996
Zambia , Burkina Faso,5–1,1996
Algeria , Burkina Faso,2–1,1996
Zambia , Sierra Leone,4–0,1996
Gabon , Liberia,1–2,1996
Gabon , Zaire,2–0,1996
Zaire , Liberia,2–0,1996
Ghana , Ivory Coast,2–0,1996
Tunisia , Mozambique,1–1,1996
Ghana , Tunisia,2–1,1996
Ivory Coast , Mozambique,1–0,1996
Tunisia , Ivory Coast,3–1,1996
Ghana , Mozambique,2–0,1996
South Africa , Algeria,2–1,1996
Zambia , Egypt,3–1,1996
Gabon , Tunisia,1–1,1996
Ghana , Zaire,1–0,1996
South Africa , Ghana,3–0,1996
Zambia , Tunisia,2–4,1996
Ghana , Zambia,0–1,1996
South Africa , Tunisia,2–0,1996
Burkina Faso , Cameroon,0–1,1998
Algeria , Guinea,0–1,1998
Cameroon , Guinea,2–2,1998
Burkina Faso , Algeria,2–1,1998
Burkina Faso , Guinea,1–0,1998
Cameroon , Algeria,2–1,1998
DR Congo , Togo,2–1,1998
Ghana , Tunisia,2–0,1998
Tunisia , DR Congo,2–1,1998
Togo , Ghana,2–1,1998
DR Congo , Ghana,1–0,1998
Tunisia , Togo,3–1,1998
South Africa , Angola,0–0,1998
Ivory Coast , Namibia,4–3,1998
Ivory Coast , South Africa,1–1,1998
Angola , Namibia,3–3,1998
Ivory Coast , Angola,5–2,1998
South Africa , Namibia,4–1,1998
Morocco , Zambia,1–1,1998
Egypt , Mozambique,2–0,1998
Egypt , Zambia,4–0,1998
Morocco , Mozambique,3–0,1998
Zambia , Mozambique,3–1,1998
Morocco , Egypt,1–0,1998
Cameroon , DR Congo,0–1,1998
Tunisia , Burkina Faso,1–1,1998
Ivory Coast , Egypt,0–0,1998
Morocco , South Africa,1–2,1998
DR Congo , South Africa,1–2,1998
Burkina Faso , Egypt,0–2,1998
DR Congo , Burkina Faso,4–4,1998
South Africa , Egypt,0–2,1998
Ghana , Cameroon,1–1,2000
Ivory Coast , Togo,1–1,2000
Ghana , Togo,2–0,2000
Cameroon , Ivory Coast,3–0,2000
Ghana , Ivory Coast,0–2,2000
Cameroon , Togo,0–1,2000
South Africa , Gabon,3–1,2000
DR Congo , Algeria,0–0,2000
South Africa , DR Congo,1–0,2000
Algeria , Gabon,3–1,2000
South Africa , Algeria,1–1,2000
DR Congo , Gabon,0–0,2000
Egypt , Zambia,2–0,2000
Burkina Faso , Senegal,1–3,2000
Egypt , Senegal,1–0,2000
Zambia , Burkina Faso,1–1,2000
Egypt , Burkina Faso,4–2,2000
Zambia , Senegal,2–2,2000
Nigeria , Tunisia,4–2,2000
Morocco , Congo,1–0,2000
Nigeria , Congo,0–0,2000
Tunisia , Morocco,0–0,2000
Nigeria , Morocco,2–0,2000
Tunisia , Congo,1–0,2000
Cameroon , Algeria,2–1,2000
South Africa , Ghana,1–0,2000
Egypt , Tunisia,0–1,2000
Nigeria , Senegal,2–1,2000
Nigeria , South Africa,2–0,2000
Cameroon , Tunisia,3–0,2000
South Africa , Tunisia,2–2,2000
Nigeria , Cameroon,2–2,2000
Mali , Liberia,1–1,2002
Algeria , Nigeria,0–1,2002
Mali , Nigeria,0–0,2002
Liberia , Algeria,2–2,2002
Mali , Algeria,2–0,2002
Liberia , Nigeria,0–1,2002
South Africa , Burkina Faso,0–0,2002
Morocco , Ghana,0–0,2002
South Africa , Ghana,0–0,2002
Burkina Faso , Morocco,1–2,2002
South Africa , Morocco,3–1,2002
Burkina Faso , Ghana,1–2,2002
Cameroon , DR Congo,1–0,2002
Togo , Ivory Coast,0–0,2002
Cameroon , Ivory Coast,1–0,2002
DR Congo , Togo,0–0,2002
Cameroon , Togo,3–0,2002
DR Congo , Ivory Coast,3–1,2002
Egypt , Senegal,0–1,2002
Zambia , Tunisia,0–0,2002
Egypt , Tunisia,1–0,2002
Senegal , Zambia,1–0,2002
Egypt , Zambia,2–1,2002
Senegal , Tunisia,0–0,2002
South Africa , Mali,0–2,2002
Nigeria , Ghana,1–0,2002
Cameroon , Egypt,1–0,2002
Senegal , DR Congo,2–0,2002
Nigeria , Senegal,1–2,2002
Mali , Cameroon,0–3,2002
Nigeria , Mali,1–0,2002
Senegal , Cameroon,0–0,2002
Tunisia , Rwanda,2–1,2004
DR Congo , Guinea,1–2,2004
Rwanda , Guinea,1–1,2004
Tunisia , DR Congo,3–0,2004
Tunisia , Guinea,1–1,2004
Rwanda , DR Congo,1–0,2004
Kenya , Mali,1–3,2004
Senegal , Burkina Faso,0–0,2004
Senegal , Kenya,3–0,2004
Burkina Faso , Mali,1–3,2004
Senegal , Mali,1–1,2004
Burkina Faso , Kenya,0–3,2004
Zimbabwe , Egypt,1–2,2004
Cameroon , Algeria,1–1,2004
Cameroon , Zimbabwe,5–3,2004
Algeria , Egypt,2–1,2004
Cameroon , Egypt,0–0,2004
Algeria , Zimbabwe,1–2,2004
Nigeria , Morocco,0–1,2004
South Africa , Benin,2–0,2004
Nigeria , South Africa,4–0,2004
Morocco , Benin,4–0,2004
Morocco , South Africa,1–1,2004
Nigeria , Benin,2–1,2004
Mali , Guinea,2–1,2004
Tunisia , Senegal,1–0,2004
Cameroon , Nigeria,1–2,2004
Morocco , Algeria,3–1,2004
Tunisia , Nigeria,1–1,2004
Morocco , Mali,4–0,2004
Nigeria , Mali,2–1,2004
Tunisia , Morocco,2–1,2004
Egypt , Libya,3–0,2006
Morocco , Ivory Coast,0–1,2006
Libya , Ivory Coast,1–2,2006
Egypt , Morocco,0–0,2006
Egypt , Ivory Coast,3–1,2006
Libya , Morocco,0–0,2006
Cameroon , Angola,3–1,2006
Togo , DR Congo,0–2,2006
Angola , DR Congo,0–0,2006
Cameroon , Togo,2–0,2006
Angola , Togo,3–2,2006
Cameroon , DR Congo,2–0,2006
Tunisia , Zambia,4–1,2006
South Africa , Guinea,0–2,2006
Zambia , Guinea,1–2,2006
Tunisia , South Africa,2–0,2006
Tunisia , Guinea,0–3,2006
Zambia , South Africa,1–0,2006
Nigeria , Ghana,1–0,2006
Zimbabwe , Senegal,0–2,2006
Ghana , Senegal,1–0,2006
Nigeria , Zimbabwe,2–0,2006
Nigeria , Senegal,2–1,2006
Ghana , Zimbabwe,1–2,2006
Guinea , Senegal,2–3,2006
Egypt , DR Congo,4–1,2006
Nigeria , Tunisia,1–1,2006
Cameroon , Ivory Coast,1–1,2006
Egypt , Senegal,2–1,2006
Nigeria , Ivory Coast,0–1,2006
Senegal , Nigeria,0–1,2006
Egypt , Ivory Coast,0–0,2006
Ghana , Guinea,2–1,2008
Namibia , Morocco,1–5,2008
Guinea , Morocco,3–2,2008
Ghana , Namibia,1–0,2008
Ghana , Morocco,2–0,2008
Guinea , Namibia,1–1,2008
Nigeria , Ivory Coast,0–1,2008
Mali , Benin,1–0,2008
Ivory Coast , Benin,4–1,2008
Nigeria , Mali,0–0,2008
Nigeria , Benin,2–0,2008
Ivory Coast , Mali,3–0,2008
Egypt , Cameroon,4–2,2008
Sudan , Zambia,0–3,2008
Cameroon , Zambia,5–1,2008
Egypt , Sudan,3–0,2008
Cameroon , Sudan,3–0,2008
Egypt , Zambia,1–1,2008
Tunisia , Senegal,2–2,2008
South Africa , Angola,1–1,2008
Senegal , Angola,1–3,2008
Tunisia , South Africa,3–1,2008
Senegal , South Africa,1–1,2008
Tunisia , Angola,0–0,2008
Ghana , Nigeria,2–1,2008
Ivory Coast , Guinea,5–0,2008
Egypt , Angola,2–1,2008
Tunisia , Cameroon,2–3,2008
Ghana , Cameroon,0–1,2008
Ivory Coast , Egypt,1–4,2008
Ghana , Ivory Coast,4–2,2008
Cameroon , Egypt,0–1,2008
Angola , Mali,4–4,2010
Malawi , Algeria,3–0,2010
Mali , Algeria,0–1,2010
Angola , Malawi,2–0,2010
Angola , Algeria,0–0,2010
Mali , Malawi,3–1,2010
Ivory Coast , Burkina Faso,0–0,2010
Ghana , Togo,Cancelled,2010
Burkina Faso , Togo,Cancelled,2010
Ivory Coast , Ghana,3–1,2010
Burkina Faso , Ghana,0–1,2010
Ivory Coast , Togo,Cancelled,2010
Egypt , Nigeria,3–1,2010
Mozambique , Benin,2–2,2010
Nigeria , Benin,1–0,2010
Egypt , Mozambique,2–0,2010
Egypt , Benin,2–0,2010
Nigeria , Mozambique,3–0,2010
Cameroon , Gabon,0–1,2010
Zambia , Tunisia,1–1,2010
Gabon , Tunisia,0–0,2010
Cameroon , Zambia,3–2,2010
Gabon , Zambia,1–2,2010
Cameroon , Tunisia,2–2,2010
Angola , Ghana,0–1,2010
Ivory Coast , Algeria,2–3,2010
Egypt , Cameroon,3–1,2010
Zambia , Nigeria,0–0,2010
Ghana , Nigeria,1–0,2010
Algeria , Egypt,0–4,2010
Nigeria , Algeria,1–0,2010
Ghana , Egypt,0–1,2010
Equatorial Guinea , Libya,1–0,2012
Senegal , Zambia,1–2,2012
Libya , Zambia,2–2,2012
Equatorial Guinea , Senegal,2–1,2012
Equatorial Guinea , Zambia,0–1,2012
Libya , Senegal,2–1,2012
Ivory Coast , Sudan,1–0,2012
Burkina Faso , Angola,1–2,2012
Sudan , Angola,2–2,2012
Ivory Coast , Burkina Faso,2–0,2012
Sudan , Burkina Faso,2–1,2012
Ivory Coast , Angola,2–0,2012
Gabon , Niger,2–0,2012
Morocco , Tunisia,1–2,2012
Niger , Tunisia,1–2,2012
Gabon , Morocco,3–2,2012
Gabon , Tunisia,1–0,2012
Niger , Morocco,0–1,2012
Ghana , Botswana,1–0,2012
Mali , Guinea,1–0,2012
Botswana , Guinea,1–6,2012
Ghana , Mali,2–0,2012
Botswana , Mali,1–2,2012
Ghana , Guinea,1–1,2012
Zambia , Sudan,3–0,2012
Ivory Coast , Equatorial Guinea,3–0,2012
Gabon , Mali,1–1,2012
Ghana , Tunisia,2–1,2012
Zambia , Ghana,1–0,2012
Mali , Ivory Coast,0–1,2012
Ghana , Mali,0–2,2012
Zambia , Ivory Coast,0–0,2012
South Africa , Cape Verde,0–0,2013
Angola , Morocco,0–0,2013
South Africa , Angola,2–0,2013
Morocco , Cape Verde,1–1,2013
Morocco , South Africa,2–2,2013
Cape Verde , Angola,2–1,2013
Ghana , DR Congo,2–2,2013
Mali , Niger,1–0,2013
Ghana , Mali,1–0,2013
Niger , DR Congo,0–0,2013
Niger , Ghana,0–3,2013
DR Congo , Mali,1–1,2013
Zambia , Ethiopia,1–1,2013
Nigeria , Burkina Faso,1–1,2013
Zambia , Nigeria,1–1,2013
Burkina Faso , Ethiopia,4–0,2013
Burkina Faso , Zambia,0–0,2013
Ethiopia , Nigeria,0–2,2013
Ivory Coast , Togo,2–1,2013
Tunisia , Algeria,1–0,2013
Ivory Coast , Tunisia,3–0,2013
Algeria , Togo,0–2,2013
Algeria , Ivory Coast,2–2,2013
Togo , Tunisia,1–1,2013
Ghana , Cape Verde,2–0,2013
South Africa , Mali,1–1,2013
Ivory Coast , Nigeria,1–2,2013
Burkina Faso , Togo,1–0,2013
Mali , Nigeria,1–4,2013
Burkina Faso , Ghana,1–1,2013
Mali , Ghana,3–1,2013
Nigeria , Burkina Faso,1–0,2013
Equatorial Guinea , Congo,1–1,2015
Burkina Faso , Gabon,0–2,2015
Equatorial Guinea , Burkina Faso,0–0,2015
Gabon , Congo,0–1,2015
Gabon , Equatorial Guinea,0–2,2015
Congo , Burkina Faso,2–1,2015
Zambia , DR Congo,1–1,2015
Tunisia , Cape Verde,1–1,2015
Zambia , Tunisia,1–2,2015
Cape Verde , DR Congo,0–0,2015
Cape Verde , Zambia,0–0,2015
DR Congo , Tunisia,1–1,2015
Ghana , Senegal,1–2,2015
Algeria , South Africa,3–1,2015
Ghana , Algeria,1–0,2015
South Africa , Senegal,1–1,2015
South Africa , Ghana,1–2,2015
Senegal , Algeria,0–2,2015
Ivory Coast , Guinea,1–1,2015
Mali , Cameroon,1–1,2015
Ivory Coast , Mali,1–1,2015
Cameroon , Guinea,1–1,2015
Cameroon , Ivory Coast,0–1,2015
Guinea , Mali,1–1,2015
Congo , DR Congo,2–4,2015
Tunisia , Equatorial Guinea,1–2,2015
Ghana , Guinea,3–0,2015
Ivory Coast , Algeria,3–1,2015
DR Congo , Ivory Coast,1–3,2015
Ghana , Equatorial Guinea,3–0,2015
DR Congo , Equatorial Guinea,0–0,2015
Ivory Coast , Ghana,0–0,2015
Gabon , Guinea-Bissau,1–1,2017
Burkina Faso , Cameroon,1–1,2017
Gabon , Burkina Faso,1–1,2017
Cameroon , Guinea-Bissau,2–1,2017
Cameroon , Gabon,0–0,2017
Guinea-Bissau , Burkina Faso,0–2,2017
Algeria , Zimbabwe,2–2,2017
Tunisia , Senegal,0–2,2017
Algeria , Tunisia,1–2,2017
Senegal , Zimbabwe,2–0,2017
Senegal , Algeria,2–2,2017
Zimbabwe , Tunisia,2–4,2017
Ivory Coast , Togo,0–0,2017
DR Congo , Morocco,1–0,2017
Ivory Coast , DR Congo,2–2,2017
Morocco , Togo,3–1,2017
Morocco , Ivory Coast,1–0,2017
Togo , DR Congo,1–3,2017
Ghana , Uganda,1–0,2017
Mali , Egypt,0–0,2017
Ghana , Mali,1–0,2017
Egypt , Uganda,1–0,2017
Egypt , Ghana,1–0,2017
Uganda , Mali,1–1,2017
Burkina Faso , Tunisia,2–0,2017
Senegal , Cameroon,0–0,2017
DR Congo , Ghana,1–2,2017
Egypt , Morocco,1–0,2017
Burkina Faso , Egypt,1–1,2017
Cameroon , Ghana,2–0,2017
Burkina Faso , Ghana,1–0,2017
Cameroon , Egypt,2–1,2017
Egypt , Zimbabwe,1–0,2019
DR Congo , Uganda,0–2,2019
Uganda , Zimbabwe,1–1,2019
Egypt , DR Congo,2–0,2019
Uganda , Egypt,0–2,2019
Zimbabwe , DR Congo,0–4,2019
Nigeria , Burundi,1–0,2019
Guinea , Madagascar,2–2,2019
Nigeria , Guinea,1–0,2019
Madagascar , Burundi,1–0,2019
Madagascar , Nigeria,2–0,2019
Burundi , Guinea,0–2,2019
Senegal , Tanzania,2–0,2019
Algeria , Kenya,2–0,2019
Senegal , Algeria,0–1,2019
Kenya , Tanzania,3–2,2019
Kenya , Senegal,0–3,2019
Tanzania , Algeria,0–3,2019
Morocco , Namibia,1–0,2019
Ivory Coast , South Africa,1–0,2019
Morocco , Ivory Coast,1–0,2019
South Africa , Namibia,1–0,2019
South Africa , Morocco,0–1,2019
Namibia , Ivory Coast,1–4,2019
Tunisia , Angola,1–1,2019
Mali , Mauritania,4–1,2019
Tunisia , Mali,1–1,2019
Mauritania , Angola,0–0,2019
Mauritania , Tunisia,0–0,2019
Angola , Mali,0–1,2019
Cameroon , Guinea-Bissau,2–0,2019
Ghana , Benin,2–2,2019
Cameroon , Ghana,0–0,2019
Benin , Guinea-Bissau,0–0,2019
Benin , Cameroon,0–0,2019
Guinea-Bissau , Ghana,0–2,2019
Morocco , Benin,1–1,2019
Uganda , Senegal,0–1,2019
Nigeria , Cameroon,3–2,2019
Egypt , South Africa,0–1,2019
Madagascar , DR Congo,2–2,2019
Algeria , Guinea,3–0,2019
Mali , Ivory Coast,0–1,2019
Ghana , Tunisia,1–1,2019
Senegal , Benin,1–0,2019
Nigeria , South Africa,2–1,2019
Ivory Coast , Algeria,1–1,2019
Madagascar , Tunisia,0–3,2019
Senegal , Tunisia,1–0,2019
Algeria , Nigeria,2–1,2019
Tunisia , Nigeria,0–1,2019
Senegal , Algeria,0–1,2019
Cameroon , Burkina Faso,2–1,2021
Ethiopia , Cape Verde,0–1,2021
Cameroon , Ethiopia,4–1,2021
Cape Verde , Burkina Faso,0–1,2021
Cape Verde , Cameroon,1–1,2021
Burkina Faso , Ethiopia,1–1,2021
Senegal , Zimbabwe,1–0,2021
Guinea , Malawi,1–0,2021
Senegal , Guinea,0–0,2021
Malawi , Zimbabwe,2–1,2021
Malawi , Senegal,0–0,2021
Zimbabwe , Guinea,2–1,2021
Morocco , Ghana,1–0,2021
Comoros , Gabon,0–1,2021
Morocco , Comoros,2–0,2021
Gabon , Ghana,1–1,2021
Gabon , Morocco,2–2,2021
Ghana , Comoros,2–3,2021
Nigeria , Egypt,1–0,2021
Sudan , Guinea-Bissau,0–0,2021
Nigeria , Sudan,3–1,2021
Guinea-Bissau , Egypt,0–1,2021
Guinea-Bissau , Nigeria,0–2,2021
Egypt , Sudan,1–0,2021
Algeria , Sierra Leone,0–0,2021
Equatorial Guinea , Ivory Coast,0–1,2021
Ivory Coast , Sierra Leone,2–2,2021
Algeria , Equatorial Guinea,0–1,2021
Ivory Coast , Algeria,3–1,2021
Sierra Leone , Equatorial Guinea,0–1,2021
Tunisia , Mali,0–1,2021
Mauritania , Gambia,0–1,2021
Gambia , Mali,1–1,2021
Tunisia , Mauritania,4–0,2021
Gambia , Tunisia,1–0,2021
Mali , Mauritania,2–0,2021
Burkina Faso , Gabon,1–1,2021
Nigeria , Tunisia,0–1,2021
Guinea , Gambia,0–1,2021
Cameroon , Comoros,2–1,2021
Senegal , Cape Verde,2–0,2021
Morocco , Malawi,2–1,2021
Ivory Coast , Egypt,0–0,2021
Mali , Equatorial Guinea,0–0,2021
Gambia , Cameroon,0–2,2021
Burkina Faso , Tunisia,1–0,2021
Egypt , Morocco,2–1,2021
Senegal , Equatorial Guinea,3–1,2021
Burkina Faso , Senegal,1–3,2021
Cameroon , Egypt,0–0,2021
Burkina Faso , Cameroon,3–3,2021
Senegal , Egypt,0–0,2021
